query_id,run_id,rank,doc_id,score
q_auth_sso,run_1,1,policy-auth,0.91
q_auth_sso,run_1,2,policy-support,0.83
q_auth_sso,run_1,3,policy-security-review,0.75
q_auth_sso,run_1,4,policy-release,0.67
q_auth_sso,run_1,5,policy-privacy,0.59
q_auth_sso,run_2,1,policy-auth,0.90
q_auth_sso,run_2,2,policy-eval,0.82
q_auth_sso,run_2,3,policy-support,0.74
q_auth_sso,run_2,4,policy-release,0.66
q_auth_sso,run_2,5,policy-latency,0.58
q_auth_sso,run_3,1,policy-support,0.89
q_auth_sso,run_3,2,policy-auth,0.81
q_auth_sso,run_3,3,policy-privacy,0.73
q_auth_sso,run_3,4,policy-onboarding,0.65
q_auth_sso,run_3,5,policy-release,0.57
q_privacy_boundary,run_1,1,policy-privacy,0.91
q_privacy_boundary,run_1,2,policy-security-review,0.83
q_privacy_boundary,run_1,3,policy-auth,0.75
q_privacy_boundary,run_1,4,policy-eval,0.67
q_privacy_boundary,run_1,5,policy-support,0.59
q_privacy_boundary,run_2,1,policy-privacy,0.90
q_privacy_boundary,run_2,2,policy-security-review,0.82
q_privacy_boundary,run_2,3,policy-support,0.74
q_privacy_boundary,run_2,4,policy-auth,0.66
q_privacy_boundary,run_2,5,policy-release,0.58
q_privacy_boundary,run_3,1,policy-privacy,0.89
q_privacy_boundary,run_3,2,policy-security-review,0.81
q_privacy_boundary,run_3,3,policy-eval,0.73
q_privacy_boundary,run_3,4,policy-incident,0.65
q_privacy_boundary,run_3,5,policy-support,0.57
q_eval_launch,run_1,1,policy-eval,0.91
q_eval_launch,run_1,2,policy-support,0.83
q_eval_launch,run_1,3,policy-feedback,0.75
q_eval_launch,run_1,4,policy-release,0.67
q_eval_launch,run_1,5,policy-privacy,0.59
q_eval_launch,run_2,1,policy-support,0.90
q_eval_launch,run_2,2,policy-eval,0.82
q_eval_launch,run_2,3,policy-release,0.74
q_eval_launch,run_2,4,policy-auth,0.66
q_eval_launch,run_2,5,policy-feedback,0.58
q_eval_launch,run_3,1,policy-eval,0.89
q_eval_launch,run_3,2,policy-privacy,0.81
q_eval_launch,run_3,3,policy-feedback,0.73
q_eval_launch,run_3,4,policy-support,0.65
q_eval_launch,run_3,5,policy-release,0.57
q_billing_invoice,run_1,1,policy-support,0.91
q_billing_invoice,run_1,2,policy-auth,0.83
q_billing_invoice,run_1,3,policy-privacy,0.75
q_billing_invoice,run_1,4,policy-onboarding,0.67
q_billing_invoice,run_1,5,policy-incident,0.59
q_billing_invoice,run_2,1,policy-privacy,0.90
q_billing_invoice,run_2,2,policy-support,0.82
q_billing_invoice,run_2,3,policy-eval,0.74
q_billing_invoice,run_2,4,policy-feedback,0.66
q_billing_invoice,run_2,5,policy-release,0.58
q_billing_invoice,run_3,1,policy-auth,0.89
q_billing_invoice,run_3,2,policy-eval,0.81
q_billing_invoice,run_3,3,policy-support,0.73
q_billing_invoice,run_3,4,policy-latency,0.65
q_billing_invoice,run_3,5,policy-onboarding,0.57
q_enterprise_rollout,run_1,1,policy-auth,0.91
q_enterprise_rollout,run_1,2,policy-support,0.83
q_enterprise_rollout,run_1,3,policy-release,0.75
q_enterprise_rollout,run_1,4,policy-eval,0.67
q_enterprise_rollout,run_1,5,policy-onboarding,0.59
q_enterprise_rollout,run_2,1,policy-privacy,0.90
q_enterprise_rollout,run_2,2,policy-auth,0.82
q_enterprise_rollout,run_2,3,policy-support,0.74
q_enterprise_rollout,run_2,4,policy-release,0.66
q_enterprise_rollout,run_2,5,policy-security-review,0.58
q_enterprise_rollout,run_3,1,policy-auth,0.89
q_enterprise_rollout,run_3,2,policy-eval,0.81
q_enterprise_rollout,run_3,3,policy-privacy,0.73
q_enterprise_rollout,run_3,4,policy-support,0.65
q_enterprise_rollout,run_3,5,policy-release,0.57
q_data_residency,run_1,1,policy-privacy,0.91
q_data_residency,run_1,2,policy-security-review,0.83
q_data_residency,run_1,3,policy-auth,0.75
q_data_residency,run_1,4,policy-observability,0.67
q_data_residency,run_1,5,policy-support,0.59
q_data_residency,run_2,1,policy-security-review,0.90
q_data_residency,run_2,2,policy-privacy,0.82
q_data_residency,run_2,3,policy-release,0.74
q_data_residency,run_2,4,policy-incident,0.66
q_data_residency,run_2,5,policy-auth,0.58
q_data_residency,run_3,1,policy-privacy,0.89
q_data_residency,run_3,2,policy-auth,0.81
q_data_residency,run_3,3,policy-onboarding,0.73
q_data_residency,run_3,4,policy-support,0.65
q_data_residency,run_3,5,policy-security-review,0.57
q_support_escalation,run_1,1,policy-support,0.91
q_support_escalation,run_1,2,policy-incident,0.83
q_support_escalation,run_1,3,policy-observability,0.75
q_support_escalation,run_1,4,policy-feedback,0.67
q_support_escalation,run_1,5,policy-release,0.59
q_support_escalation,run_2,1,policy-incident,0.90
q_support_escalation,run_2,2,policy-support,0.82
q_support_escalation,run_2,3,policy-privacy,0.74
q_support_escalation,run_2,4,policy-observability,0.66
q_support_escalation,run_2,5,policy-auth,0.58
q_support_escalation,run_3,1,policy-support,0.89
q_support_escalation,run_3,2,policy-release,0.81
q_support_escalation,run_3,3,policy-feedback,0.73
q_support_escalation,run_3,4,policy-incident,0.65
q_support_escalation,run_3,5,policy-onboarding,0.57
q_rollback_launch,run_1,1,policy-release,0.91
q_rollback_launch,run_1,2,policy-auth,0.83
q_rollback_launch,run_1,3,policy-support,0.75
q_rollback_launch,run_1,4,policy-incident,0.67
q_rollback_launch,run_1,5,policy-eval,0.59
q_rollback_launch,run_2,1,policy-auth,0.90
q_rollback_launch,run_2,2,policy-release,0.82
q_rollback_launch,run_2,3,policy-security-review,0.74
q_rollback_launch,run_2,4,policy-support,0.66
q_rollback_launch,run_2,5,policy-observability,0.58
q_rollback_launch,run_3,1,policy-support,0.89
q_rollback_launch,run_3,2,policy-release,0.81
q_rollback_launch,run_3,3,policy-auth,0.73
q_rollback_launch,run_3,4,policy-feedback,0.65
q_rollback_launch,run_3,5,policy-eval,0.57
q_citation_eval,run_1,1,policy-eval,0.91
q_citation_eval,run_1,2,policy-feedback,0.83
q_citation_eval,run_1,3,policy-support,0.75
q_citation_eval,run_1,4,policy-release,0.67
q_citation_eval,run_1,5,policy-privacy,0.59
q_citation_eval,run_2,1,policy-eval,0.90
q_citation_eval,run_2,2,policy-privacy,0.82
q_citation_eval,run_2,3,policy-feedback,0.74
q_citation_eval,run_2,4,policy-auth,0.66
q_citation_eval,run_2,5,policy-support,0.58
q_citation_eval,run_3,1,policy-feedback,0.89
q_citation_eval,run_3,2,policy-eval,0.81
q_citation_eval,run_3,3,policy-support,0.73
q_citation_eval,run_3,4,policy-latency,0.65
q_citation_eval,run_3,5,policy-release,0.57
q_external_service,run_1,1,policy-security-review,0.91
q_external_service,run_1,2,policy-privacy,0.83
q_external_service,run_1,3,policy-release,0.75
q_external_service,run_1,4,policy-auth,0.67
q_external_service,run_1,5,policy-incident,0.59
q_external_service,run_2,1,policy-privacy,0.90
q_external_service,run_2,2,policy-security-review,0.82
q_external_service,run_2,3,policy-support,0.74
q_external_service,run_2,4,policy-observability,0.66
q_external_service,run_2,5,policy-release,0.58
q_external_service,run_3,1,policy-release,0.89
q_external_service,run_3,2,policy-privacy,0.81
q_external_service,run_3,3,policy-security-review,0.73
q_external_service,run_3,4,policy-auth,0.65
q_external_service,run_3,5,policy-feedback,0.57
q_known_issues,run_1,1,policy-support,0.91
q_known_issues,run_1,2,policy-release,0.83
q_known_issues,run_1,3,policy-feedback,0.75
q_known_issues,run_1,4,policy-onboarding,0.67
q_known_issues,run_1,5,policy-incident,0.59
q_known_issues,run_2,1,policy-feedback,0.90
q_known_issues,run_2,2,policy-support,0.82
q_known_issues,run_2,3,policy-release,0.74
q_known_issues,run_2,4,policy-eval,0.66
q_known_issues,run_2,5,policy-auth,0.58
q_known_issues,run_3,1,policy-support,0.89
q_known_issues,run_3,2,policy-incident,0.81
q_known_issues,run_3,3,policy-onboarding,0.73
q_known_issues,run_3,4,policy-release,0.65
q_known_issues,run_3,5,policy-privacy,0.57
q_failure_cases,run_1,1,policy-eval,0.91
q_failure_cases,run_1,2,policy-feedback,0.83
q_failure_cases,run_1,3,policy-support,0.75
q_failure_cases,run_1,4,policy-observability,0.67
q_failure_cases,run_1,5,policy-release,0.59
q_failure_cases,run_2,1,policy-feedback,0.90
q_failure_cases,run_2,2,policy-eval,0.82
q_failure_cases,run_2,3,policy-latency,0.74
q_failure_cases,run_2,4,policy-support,0.66
q_failure_cases,run_2,5,policy-privacy,0.58
q_failure_cases,run_3,1,policy-eval,0.89
q_failure_cases,run_3,2,policy-release,0.81
q_failure_cases,run_3,3,policy-security-review,0.73
q_failure_cases,run_3,4,policy-feedback,0.65
q_failure_cases,run_3,5,policy-support,0.57
q_saml_oidc,run_1,1,policy-auth,0.91
q_saml_oidc,run_1,2,policy-security-review,0.83
q_saml_oidc,run_1,3,policy-onboarding,0.75
q_saml_oidc,run_1,4,policy-release,0.67
q_saml_oidc,run_1,5,policy-privacy,0.59
q_saml_oidc,run_2,1,policy-auth,0.90
q_saml_oidc,run_2,2,policy-support,0.82
q_saml_oidc,run_2,3,policy-security-review,0.74
q_saml_oidc,run_2,4,policy-eval,0.66
q_saml_oidc,run_2,5,policy-release,0.58
q_saml_oidc,run_3,1,policy-auth,0.89
q_saml_oidc,run_3,2,policy-privacy,0.81
q_saml_oidc,run_3,3,policy-onboarding,0.73
q_saml_oidc,run_3,4,policy-latency,0.65
q_saml_oidc,run_3,5,policy-support,0.57
q_tenant_isolation,run_1,1,policy-privacy,0.91
q_tenant_isolation,run_1,2,policy-security-review,0.83
q_tenant_isolation,run_1,3,policy-auth,0.75
q_tenant_isolation,run_1,4,policy-observability,0.67
q_tenant_isolation,run_1,5,policy-incident,0.59
q_tenant_isolation,run_2,1,policy-security-review,0.90
q_tenant_isolation,run_2,2,policy-privacy,0.82
q_tenant_isolation,run_2,3,policy-release,0.74
q_tenant_isolation,run_2,4,policy-auth,0.66
q_tenant_isolation,run_2,5,policy-support,0.58
q_tenant_isolation,run_3,1,policy-privacy,0.89
q_tenant_isolation,run_3,2,policy-onboarding,0.81
q_tenant_isolation,run_3,3,policy-security-review,0.73
q_tenant_isolation,run_3,4,policy-feedback,0.65
q_tenant_isolation,run_3,5,policy-auth,0.57
q_api_latency,run_1,1,policy-latency,0.91
q_api_latency,run_1,2,policy-observability,0.83
q_api_latency,run_1,3,policy-incident,0.75
q_api_latency,run_1,4,policy-support,0.67
q_api_latency,run_1,5,policy-release,0.59
q_api_latency,run_2,1,policy-observability,0.90
q_api_latency,run_2,2,policy-latency,0.82
q_api_latency,run_2,3,policy-feedback,0.74
q_api_latency,run_2,4,policy-eval,0.66
q_api_latency,run_2,5,policy-support,0.58
q_api_latency,run_3,1,policy-latency,0.89
q_api_latency,run_3,2,policy-support,0.81
q_api_latency,run_3,3,policy-observability,0.73
q_api_latency,run_3,4,policy-incident,0.65
q_api_latency,run_3,5,policy-privacy,0.57
q_incident_comms,run_1,1,policy-incident,0.91
q_incident_comms,run_1,2,policy-support,0.83
q_incident_comms,run_1,3,policy-observability,0.75
q_incident_comms,run_1,4,policy-release,0.67
q_incident_comms,run_1,5,policy-feedback,0.59
q_incident_comms,run_2,1,policy-support,0.90
q_incident_comms,run_2,2,policy-incident,0.82
q_incident_comms,run_2,3,policy-feedback,0.74
q_incident_comms,run_2,4,policy-onboarding,0.66
q_incident_comms,run_2,5,policy-release,0.58
q_incident_comms,run_3,1,policy-observability,0.89
q_incident_comms,run_3,2,policy-incident,0.81
q_incident_comms,run_3,3,policy-support,0.73
q_incident_comms,run_3,4,policy-latency,0.65
q_incident_comms,run_3,5,policy-privacy,0.57
q_onboarding_setup,run_1,1,policy-onboarding,0.91
q_onboarding_setup,run_1,2,policy-auth,0.83
q_onboarding_setup,run_1,3,policy-support,0.75
q_onboarding_setup,run_1,4,policy-release,0.67
q_onboarding_setup,run_1,5,policy-privacy,0.59
q_onboarding_setup,run_2,1,policy-auth,0.90
q_onboarding_setup,run_2,2,policy-onboarding,0.82
q_onboarding_setup,run_2,3,policy-security-review,0.74
q_onboarding_setup,run_2,4,policy-support,0.66
q_onboarding_setup,run_2,5,policy-feedback,0.58
q_onboarding_setup,run_3,1,policy-onboarding,0.89
q_onboarding_setup,run_3,2,policy-support,0.81
q_onboarding_setup,run_3,3,policy-auth,0.73
q_onboarding_setup,run_3,4,policy-incident,0.65
q_onboarding_setup,run_3,5,policy-release,0.57
q_feedback_loop,run_1,1,policy-feedback,0.91
q_feedback_loop,run_1,2,policy-eval,0.83
q_feedback_loop,run_1,3,policy-support,0.75
q_feedback_loop,run_1,4,policy-observability,0.67
q_feedback_loop,run_1,5,policy-release,0.59
q_feedback_loop,run_2,1,policy-eval,0.90
q_feedback_loop,run_2,2,policy-feedback,0.82
q_feedback_loop,run_2,3,policy-privacy,0.74
q_feedback_loop,run_2,4,policy-support,0.66
q_feedback_loop,run_2,5,policy-latency,0.58
q_feedback_loop,run_3,1,policy-feedback,0.89
q_feedback_loop,run_3,2,policy-support,0.81
q_feedback_loop,run_3,3,policy-eval,0.73
q_feedback_loop,run_3,4,policy-incident,0.65
q_feedback_loop,run_3,5,policy-release,0.57
q_security_approval,run_1,1,policy-security-review,0.91
q_security_approval,run_1,2,policy-release,0.83
q_security_approval,run_1,3,policy-privacy,0.75
q_security_approval,run_1,4,policy-auth,0.67
q_security_approval,run_1,5,policy-incident,0.59
q_security_approval,run_2,1,policy-release,0.90
q_security_approval,run_2,2,policy-security-review,0.82
q_security_approval,run_2,3,policy-observability,0.74
q_security_approval,run_2,4,policy-privacy,0.66
q_security_approval,run_2,5,policy-support,0.58
q_security_approval,run_3,1,policy-security-review,0.89
q_security_approval,run_3,2,policy-auth,0.81
q_security_approval,run_3,3,policy-release,0.73
q_security_approval,run_3,4,policy-onboarding,0.65
q_security_approval,run_3,5,policy-eval,0.57
q_release_gate,run_1,1,policy-release,0.91
q_release_gate,run_1,2,policy-eval,0.83
q_release_gate,run_1,3,policy-security-review,0.75
q_release_gate,run_1,4,policy-support,0.67
q_release_gate,run_1,5,policy-incident,0.59
q_release_gate,run_2,1,policy-eval,0.90
q_release_gate,run_2,2,policy-release,0.82
q_release_gate,run_2,3,policy-feedback,0.74
q_release_gate,run_2,4,policy-security-review,0.66
q_release_gate,run_2,5,policy-privacy,0.58
q_release_gate,run_3,1,policy-security-review,0.89
q_release_gate,run_3,2,policy-release,0.81
q_release_gate,run_3,3,policy-auth,0.73
q_release_gate,run_3,4,policy-eval,0.65
q_release_gate,run_3,5,policy-observability,0.57
